formula,ehull,hform,gap_pbe,magnetic,layergroup,uid,gap_gw,gap_dir_gw,E_B,gap_dir_pbe
Pt2S4,0.050,-0.345,1.802,No,p2_1/b11,Pt2S4-216f8f2dd8c1,,,0.986,1.857
Pt2Se4,0.103,-0.310,1.441,No,p2_1/b11,Pt2Se4-60c67ebd5bd2,,,0.837,1.560
Tl2I2,0.115,-0.562,2.063,No,p4/nmm,I2Tl2-4dec0d273348,,,1.193,2.321
In2O2,0.208,-1.140,0.385,No,p-6m2,In2O2-d14171d2ba1a,1.867,2.587,1.063,1.137
In2S2,0.000,-0.556,1.675,No,p-6m2,In2S2-172ef584c4a6,3.149,3.224,0.849,1.758
In2Se2,0.000,-0.538,1.404,No,p-6m2,In2Se2-eb204c739879,2.740,2.775,0.667,1.448
In2Te2,0.000,-0.350,1.233,No,p-6m2,In2Te2-fcd97ff5abcd,2.362,2.362,0.472,1.237
Ir2O2,0.510,-0.162,0.122,No,p-6m2,Ir2O2-06ebe3806790,0.234,0.301,0.339,0.181
Ir2S2,0.305,-0.047,0.297,No,p-6m2,Ir2S2-dd6289af8e01,0.108,0.108,0.359,0.297
Zn2S4,0.361,-0.192,1.693,No,p2_1/b11,Zn2S4-b7597244c206,,,1.803,1.982
Zn2Se4,0.316,-0.163,1.382,No,p2_1/b11,Zn2Se4-5234a9f6507a,,,1.467,1.506
CrBiAs,0.461,0.314,0.028,No,p3m1,AsBiCr-b299416bff28,,,0.269,0.054
Pb2O2,0.506,-0.657,0.242,No,p4/nmm,O2Pb2-5491391bc7ab,,,0.601,0.304
AsSBr,0.028,-0.256,1.387,No,p3m1,AsBrS-1dcd471c2288,2.514,2.960,0.803,1.813
AsSBr,0.195,-0.088,1.417,No,p3m1,AsBrS-d9f4d4011670,2.511,2.988,0.742,1.857
AsSeBr,0.000,-0.294,1.228,No,p3m1,AsBrSe-989f469f06bd,2.274,2.721,0.717,1.667
Rh2O2,0.246,-0.381,0.067,No,p-6m2,O2Rh2-740bf2751050,,,0.279,0.067
AsTeBr,0.000,-0.245,1.237,No,p3m1,AsBrTe-64921449e408,2.227,2.637,0.585,1.640
AsTeBr,0.163,-0.082,1.064,No,p3m1,AsBrTe-671e6de2497a,1.963,2.355,0.527,1.435
AsSeBr,0.161,-0.134,1.497,No,p3m1,AsBrSe-206b9dcf2af6,2.503,2.727,0.665,1.708
