i,s,f,e,n,d,g,u,l,m,t,p,w,r,b,fm,fa,fb,k,ku,kl,kw,kr,kd,q,x,o,pm,iv
Cd2S4-04d0ed1bbce6,1,CdS2,Cd S,6,1.52,1.751,0.092,0.387,0.0,0,0.23,2,0,0,-1,,,4.25,0.121,0.154,1,1,4.115,,,,0.54,0.416
agm2000032407,0,AlI3,Al I,16,1.688,1.751,0.132,0.26,0.0,0,0.28,1,1,1,-1,,,4.685,0.137,0.174,2,0,,2.364,0.724,1.959,0.25,0.521
agm2000137593,0,RbTl(PS3)2,P Rb S Tl,10,1.735,1.751,0.082,0.287,0.02,1,0.79,1,0,0,-1,,,5.615,0.174,0.315,2,0,,3.288,0.983,2.555,0.81,0.489
agm2000020061,0,CuBr,Br Cu,8,1.857,1.751,0.128,0.105,0.0,0,0.32,1,1,1,-1,,,4.524,0.099,0.322,2,0,,3.404,1.27,2.143,0.13,0.505
agm2000065840,0,KAuSe,Au K Se,12,1.768,1.751,0.081,0.185,0.0,0,0.24,0,1,1,-1,,,4.698,0.178,0.445,2,0,,3.044,1.061,2.137,0.67,0.483
JVASP-6739,2,HgI2,Hg I,3,1.752,1.751,0.067,0.119,0.0,0,0.23,0,0,0,-1,,,5.231,0.056,0.145,0,0,,2.526,0.856,1.843,0.1,0.315
agm2000137833,0,PrTeI,I Pr Te,6,1.726,1.751,0.045,0.208,0.0,0,0.17,0,1,1,-1,,,5.084,0.295,0.425,2,0,,2.564,0.791,1.988,0.22,0.307
agm2000021989,0,Al2Se3,Al Se,10,1.53,1.751,0.166,0.212,0.05,1,0.69,2,1,1,-1,,,4.527,0.104,0.372,2,0,,,,,0.39,0.675
agm2000128352,0,BeBr4,Be Br,10,1.701,1.752,0.121,0.295,0.02,1,0.34,1,1,1,-1,,,5.675,0.266,0.118,2,0,,4.087,1.111,3.257,0.31,0.475
agm2000103588,0,TiICl3,Cl I Ti,10,1.342,1.752,0.135,0.3,0.0,0,0.17,2,0,0,-1,,,5.714,0.035,0.194,0,0,,,,,0.45,0.532
agm2000145038,0,InSbI6,I In Sb,8,1.714,1.752,0.048,0.133,0.0,0,0.29,0,1,1,-1,,,5.154,0.044,0.096,0,0,,2.708,0.774,2.363,0.02,0.323
agm2000080362,0,RbAgI4,Ag I Rb,6,1.636,1.752,0.069,0.156,0.02,1,0.6,0,1,1,-1,,,5.008,0.119,0.22,1,0,,3.506,1.034,2.732,0.29,0.328
agm2000104890,0,NaAg2F3,Ag F Na,12,1.731,1.752,0.043,0.19,0.05,1,0.57,0,1,0,-1,,,4.694,0.488,0.406,2,0,,3.431,1.33,2.178,0.83,0.347
JVASP-28153,2,HgF,F Hg,4,2.651,1.753,0.388,0.398,0.02,1,0.96,2,0,0,-1,,,6.936,0.168,0.253,2,0,,,,,0.87,1.391
agm2000105951,0,LiAuSe,Au Li Se,12,0.86,1.753,0.116,0.264,0.0,1,0.75,1,0,0,-1,,,4.416,0.093,0.416,2,0,,3.671,1.308,2.403,0.72,0.526
agm2000027085,0,BaO,Ba O,12,1.833,1.753,0.084,0.357,0.0,1,0.84,2,1,0,-1,,,5.559,0.574,0.412,2,0,,,,,0.39,0.396
agm2000011563,0,CrO,Cr O,4,1.692,1.753,0.065,0.372,1.0,1,1.0,2,1,0,-1,,,4.844,0.166,0.362,2,0,,,,,0.94,0.386
agm2000049556,0,Ni3F8,F Ni,11,1.719,1.753,0.059,0.196,0.05,1,0.59,0,1,0,-1,,,6.282,0.025,0.174,0,0,,3.209,1.23,2.273,0.7,0.481
agm2000092679,0,Ag2HgSe2,Ag Hg Se,10,2.053,1.753,0.114,0.232,0.0,0,0.21,1,0,0,-1,,,5.079,0.103,0.21,1,0,,2.507,1.06,1.452,0.92,0.513
agm2000023435,0,CdI2,Cd I,6,1.436,1.753,0.097,0.312,0.0,0,0.16,2,0,0,-1,,,5.009,0.064,0.179,0,0,,,,,0.79,0.438
agm2000029283,0,AgCl,Ag Cl,8,1.822,1.753,0.065,0.195,0.01,0,0.18,0,1,0,-1,,,5.286,0.094,0.242,1,0,,2.67,1.255,1.615,0.24,0.306
agm2000129497,0,InI5,I In,6,1.788,1.753,0.085,0.294,0.03,1,0.59,1,1,0,-1,,,5.107,0.082,0.147,0,0,,2.184,0.684,1.767,0.44,0.399
agm2000080597,0,Tl4CdSe3,Cd Se Tl,8,1.896,1.753,0.07,0.192,0.0,1,0.76,0,1,0,-1,,,4.555,0.173,0.284,2,0,,2.932,0.895,2.087,0.6,0.421
agm2000136297,0,LaSF,F La S,6,1.749,1.753,0.018,0.205,0.0,0,0.33,0,1,0,-1,,,5.783,0.502,0.267,2,0,,3.584,1.171,2.72,0.66,0.147
agm2000091753,0,NaTlO,Na O Tl,18,1.885,1.754,0.141,0.25,0.0,1,0.73,1,1,0,-1,,,3.186,0.115,0.318,2,0,,3.225,1.103,2.267,0.73,0.637
agm2000038994,0,TlF2,F Tl,12,1.567,1.754,0.109,0.212,0.19,1,0.41,1,1,1,-1,,,6.431,0.282,0.189,2,0,,3.784,1.221,2.707,0.5,0.43
agm2000004390,0,GdBr3,Br Gd,4,1.901,1.754,0.09,0.233,0.0,0,0.0,0,3,1,-1,,,5.958,0.402,0.171,2,0,,3.457,0.965,2.763,0.22,0.427
agm2000051096,0,Ag2AuI3,Ag Au I,6,1.561,1.754,0.074,0.145,0.0,0,0.3,0,2,1,-1,,,5.079,0.082,0.295,1,0,,2.959,1.071,2.043,0.28,0.348
agm2000037879,0,BiBr3,Bi Br,8,1.847,1.754,0.111,0.272,0.0,1,0.63,1,0,0,-1,,,6.08,0.072,0.146,0,0,,3.157,0.997,2.37,0.77,0.501
agm2000077653,0,In3I2F3,F I In,8,1.623,1.754,0.071,0.287,0.4,1,0.75,1,1,0,-1,,,4.921,0.226,0.422,2,0,,3.508,1.295,2.565,0.21,0.337
agm2000032816,0,GdBr3,Br Gd,16,1.876,1.754,0.091,0.233,0.0,0,0.0,0,3,1,-1,,,5.958,0.402,0.171,2,0,,3.457,0.964,2.763,0.22,0.427
agm2000075933,0,AgAuBr2,Ag Au Br,8,1.152,1.754,0.124,0.238,0.0,1,0.71,1,0,0,-1,,,5.197,0.077,0.279,1,0,,3.243,1.128,2.279,0.34,0.487
agm2000064035,0,W(SeCl)2,Cl Se W,10,1.678,1.755,0.043,0.345,0.0,1,0.44,2,1,0,-1,,,4.974,0.063,0.294,1,0,,,,,0.87,0.352
agm2000015591,0,GdBr3,Br Gd,8,1.898,1.755,0.091,0.233,0.0,0,0.0,0,3,1,-1,,,5.958,0.402,0.171,2,0,,3.458,0.965,2.764,0.22,0.427
agm2000144715,0,TlGaBr6,Br Ga Tl,8,1.732,1.755,0.024,0.167,0.0,0,0.01,0,1,1,-1,,,6.103,0.017,0.079,0,0,,3.003,0.962,2.37,0.09,0.164
agm2000106240,0,MnAgBr3,Ag Br Mn,10,1.632,1.756,0.079,0.194,0.0,0,0.2,0,1,0,-1,,,5.505,0.122,0.267,1,0,,3.04,1.182,2.048,0.4,0.371
agm2000062958,0,SbSBr,Br S Sb,6,1.801,1.756,0.046,0.25,0.0,1,0.9,1,1,1,-1,,,5.707,0.064,0.135,0,0,,2.735,0.883,2.205,0.08,0.311
agm2000007782,0,Sb2S3,S Sb,5,1.575,1.756,0.109,0.288,0.0,1,0.8,1,0,0,-1,,,4.685,0.078,0.19,0,0,,2.671,0.971,1.846,0.87,0.492
agm2000055465,0,Tl2InI3,I In Tl,6,1.997,1.756,0.162,0.295,0.0,1,0.56,2,2,1,-1,,,5.055,0.122,0.325,2,0,,,,,0.45,0.657
agm2000064408,0,SmTeCl,Cl Sm Te,18,1.932,1.756,0.225,0.211,0.0,1,0.64,2,0,0,-1,,,4.797,0.146,0.307,2,0,,,,,0.77,0.807
agm2000108843,0,Cd(AuS)2,Au Cd S,10,2.843,1.756,0.131,0.296,0.0,1,0.66,1,0,0,-1,,,5.533,0.284,0.243,2,0,,2.896,1.081,1.887,0.85,0.592
agm2000143139,0,YRhBr6,Br Rh Y,8,1.737,1.756,0.049,0.088,0.0,0,0.0,0,2,1,-1,,,5.147,0.069,0.12,0,0,,2.722,0.999,2.005,0.08,0.331
agm2000058400,0,Sb2Se2O,O Sb Se,5,1.777,1.757,0.031,0.353,0.0,1,0.63,2,1,0,-1,,,4.894,0.21,0.267,2,0,,,,,0.53,0.255
agm2000053240,0,Mn2Br3Cl,Br Cl Mn,6,1.776,1.757,0.07,0.118,0.0,0,0.14,0,1,1,-1,,,5.276,0.055,0.174,0,0,,3.678,1.458,2.571,0.16,0.331
agm2000141950,0,MgScBr5,Br Mg Sc,14,1.731,1.757,0.07,0.24,0.0,0,0.07,1,1,0,-1,,,5.347,0.091,0.15,1,0,,3.414,1.016,2.658,0.32,0.332
agm2000067324,0,K2HgO2,Hg K O,10,1.774,1.757,0.089,0.297,0.0,1,0.35,1,1,0,-1,,,4.83,0.566,0.469,2,0,,3.531,1.04,2.797,0.52,0.531
JVASP-6583,2,Sb4S5Cl2,Cl S Sb,22,2.052,1.757,0.112,0.245,0.0,1,0.94,1,0,0,-1,,,5.295,0.058,0.183,0,0,,3.043,0.977,2.392,0.22,0.44
agm2000047988,0,HgS,Hg S,12,1.768,1.758,0.105,0.171,0.0,0,0.28,1,1,0,-1,,,5.666,0.152,0.229,2,0,,2.852,0.899,2.015,0.7,0.477
agm2000133262,0,Na2CeCl6,Ce Cl Na,9,1.737,1.758,0.065,0.094,0.0,0,0.0,0,1,1,-1,,,5.083,0.46,0.38,2,0,,4.074,1.154,3.322,0.04,0.306
agm2000047559,0,Sb2Se3,Sb Se,15,1.362,1.758,0.082,0.314,0.03,1,0.4,2,0,0,-1,,,4.892,0.028,0.186,0,0,,,,,0.93,0.492
agm2000026368,0,TlBr2,Br Tl,12,1.716,1.758,0.136,0.222,0.02,1,0.39,1,1,0,-1,,,5.786,0.141,0.21,2,0,,2.744,0.895,2.059,0.87,0.613
agm2000096040,0,Mn2BrCl3,Br Cl Mn,12,1.83,1.758,0.089,0.12,0.0,0,0.09,0,2,1,-1,,,5.291,0.035,0.183,0,0,,3.32,1.468,2.235,0.32,0.419
agm2000141830,0,TmPbI5,I Pb Tm,14,1.656,1.759,0.065,0.165,0.0,0,0.01,0,1,0,-1,,,5.262,0.21,0.134,2,0,,2.703,0.942,2.037,0.38,0.308
agm2000051175,0,Al2Se2S,Al S Se,5,1.71,1.759,0.091,0.119,0.02,1,0.92,0,1,1,-1,,,5.43,0.16,0.367,2,0,,2.817,0.956,2.17,0.25,0.431
agm2000006815,0,PbO,O Pb,6,1.417,1.759,0.123,0.26,0.02,1,0.74,1,0,0,-1,,,6.481,0.099,0.279,1,0,,2.718,0.996,1.941,0.62,0.555
agm2000143726,0,PrMoCl6,Cl Mo Pr,8,1.705,1.759,0.045,0.099,0.0,0,0.0,0,1,1,-1,,,5.884,0.203,0.148,2,0,,3.148,1.243,2.323,0.1,0.305
agm2000144056,0,SrCeCl6,Ce Cl Sr,8,1.755,1.759,0.067,0.072,0.0,0,0.0,0,1,1,-1,,,6.195,0.181,0.134,2,0,,3.85,1.096,3.134,0.04,0.314
agm2000076001,0,InSnBr3,Br In Sn,5,1.777,1.759,0.1,0.248,0.06,0,0.32,1,1,1,-1,,,5.353,0.091,0.189,1,0,,2.947,1.239,1.973,0.35,0.393
agm2000137767,0,PmAg(AsS3)2,Ag As Pm S,10,1.757,1.759,0.044,0.132,0.0,1,0.58,0,1,0,-1,,,5.564,0.174,0.191,2,0,,2.985,0.839,2.493,0.37,0.298
agm2000088010,0,BiIF2,Bi F I,8,1.645,1.759,0.059,0.307,0.0,1,0.83,2,1,0,-1,,,5.761,0.378,0.423,2,0,,,,,0.85,0.48
agm2000022116,0,GdBr3,Br Gd,8,1.789,1.76,0.168,0.268,0.0,0,0.0,2,0,0,-1,,,5.929,0.522,0.184,2,0,,,,,0.72,0.604
agm2000103333,0,Pb3(SeCl)2,Cl Pb Se,14,1.76,1.76,0.035,0.272,0.0,1,0.56,1,1,0,-1,,,5.309,0.105,0.312,1,0,,2.769,0.808,2.009,0.59,0.282
agm2000132832,0,Li2MnCl6,Cl Li Mn,9,1.719,1.76,0.107,0.233,0.0,0,0.09,1,1,1,-1,,,5.149,0.297,0.217,2,0,,4.344,1.177,3.565,0.1,0.423
agm2000141979,0,YMnBr5,Br Mn Y,14,1.644,1.76,0.039,0.082,0.0,0,0.01,0,3,1,-1,,,4.907,0.1,0.138,1,0,,3.306,1.197,2.487,0.07,0.266
agm2000137249,0,NaSc(CuBr3)2,Br Cu Na Sc,10,1.709,1.76,0.058,0.184,0.0,0,0.08,0,1,1,-1,,,5.191,0.267,0.344,2,0,,3.524,1.2,2.631,0.23,0.393
agm2000110723,0,InSI,I In S,6,1.697,1.76,0.021,0.256,0.0,1,0.34,1,1,1,-1,,,5.419,0.057,0.172,0,0,,2.359,0.655,1.956,0.05,0.145
agm2000062666,0,ZrNF,F N Zr,6,1.787,1.76,0.068,0.335,0.02,1,0.33,2,1,1,-1,,,4.236,0.09,0.35,2,0,,,,,0.62,0.41
agm2000067958,0,Pb3(SeBr)2,Br Pb Se,14,1.701,1.76,0.031,0.261,0.0,1,0.47,1,1,0,-1,,,5.027,0.133,0.313,2,0,,2.595,0.853,1.998,0.6,0.253
agm2000042285,0,AgBr,Ag Br,12,1.607,1.761,0.101,0.136,0.06,1,0.5,1,1,1,-1,,,5.299,0.124,0.247,1,0,,2.763,1.177,1.689,0.23,0.4
agm2000002266,0,LiH,H Li,20,3.258,1.761,0.216,0.337,0.01,1,0.79,2,0,0,-1,,,4.219,0.201,0.244,2,0,,,,,0.92,0.777
agm2000002253,0,LiH,H Li,6,3.153,1.761,0.212,0.312,0.02,1,0.87,2,0,0,-1,,,4.2,0.259,0.251,2,0,,,,,0.69,0.762
agm2000109742,0,TlBr3,Br Tl,8,1.81,1.761,0.094,0.166,0.07,0,0.29,1,1,1,-1,,,6.387,0.024,0.087,0,0,,2.354,0.924,1.855,0.02,0.369
agm2000108264,0,RbAgSe2,Ag Rb Se,8,1.703,1.761,0.047,0.227,0.0,0,0.16,0,1,0,-1,,,4.708,0.21,0.241,2,0,,2.942,0.887,2.149,0.88,0.382
Tl2Br6-a53871fb1a3b,1,TlBr3,Br Tl,8,1.661,1.761,0.112,0.165,0.03,0,0.28,1,0,0,-1,,,6.392,0.022,0.086,0,1,6.362,2.366,0.934,1.856,0.02,0.442
agm2000143060,0,TbTlBr6,Br Tb Tl,8,1.711,1.761,0.053,0.062,0.0,0,0.01,0,1,1,-1,,,6.143,0.069,0.098,0,0,,3.489,0.985,2.958,0.05,0.359
agm2000142986,0,SmTlBr6,Br Sm Tl,8,1.729,1.762,0.06,0.062,0.0,0,0.0,0,1,1,-1,,,6.228,0.07,0.097,0,0,,3.422,0.94,2.896,0.05,0.405
agm2000088490,0,Ag3Cl2F,Ag Cl F,12,1.937,1.762,0.109,0.224,0.1,0,0.27,1,1,0,-1,,,5.298,0.185,0.25,2,0,,2.812,1.132,1.705,0.65,0.493
agm2000078995,0,Na2ZnSe2,Na Se Zn,10,1.681,1.762,0.041,0.254,0.0,0,0.12,1,1,0,-1,,,3.103,0.217,0.298,2,0,,2.729,0.787,2.146,0.86,0.331
agm2000099497,0,Tl3O2F3,F O Tl,16,1.79,1.762,0.066,0.319,0.0,1,0.59,2,1,0,-1,,,6.532,0.164,0.239,2,0,,,,,0.58,0.394
agm2000065882,0,Li2AgF3,Ag F Li,12,2.214,1.762,0.354,0.394,0.01,1,0.71,2,0,0,-1,,,5.33,0.358,0.324,2,0,,,,,0.64,1.271
agm2000039841,0,MnBr2,Br Mn,18,1.637,1.762,0.05,0.116,0.0,0,0.15,0,1,1,-1,,,5.345,0.062,0.163,0,0,,3.762,1.415,2.618,0.03,0.336
agm2000137571,0,KIn(PS3)2,In K P S,10,1.814,1.762,0.046,0.207,0.04,1,0.93,0,1,1,-1,,,5.215,0.107,0.255,1,0,,3.328,0.994,2.635,0.36,0.313
agm2000039121,0,TlF3,F Tl,8,1.66,1.762,0.063,0.138,0.59,1,0.55,2,1,0,-1,,,6.621,0.165,0.179,2,0,,,,,0.66,0.375
agm2000068541,0,Cs2Ca2S3,Ca Cs S,14,1.716,1.762,0.029,0.304,0.0,1,0.49,2,1,0,-1,,,4.228,0.253,0.434,2,0,,,,,0.78,0.237
agm2000062588,0,CsNaSe,Cs Na Se,6,1.806,1.763,0.093,0.28,0.0,0,0.04,1,0,0,-1,,,3.27,0.235,0.319,2,0,,2.541,0.716,2.032,0.96,0.42
agm2000065819,0,KAgSe2,Ag K Se,8,1.746,1.763,0.054,0.228,0.0,0,0.22,0,1,0,-1,,,4.739,0.226,0.236,2,0,,3.043,1.0,2.128,0.6,0.434
agm2000142928,0,NdRhBr6,Br Nd Rh,8,1.752,1.763,0.038,0.081,0.0,0,0.0,0,1,1,-1,,,5.523,0.189,0.132,2,0,,2.591,0.993,1.912,0.1,0.259
agm2000034513,0,MnBr2,Br Mn,24,1.72,1.763,0.032,0.105,0.0,0,0.15,0,1,1,-1,,,5.354,0.066,0.159,0,0,,3.631,1.375,2.563,0.05,0.215
agm2000093343,0,GdSeBr,Br Gd Se,6,1.873,1.763,0.035,0.108,0.0,0,0.02,0,1,1,-1,,,5.57,0.802,0.242,2,0,,2.928,0.867,2.32,0.2,0.235
agm2000061049,0,TiSeBr2,Br Se Ti,4,1.857,1.764,0.091,0.297,0.0,1,0.49,1,0,0,-1,,,5.357,0.1,0.302,1,0,,2.907,0.652,2.456,0.48,0.428
agm2000145828,0,HgTeI6,Hg I Te,8,1.703,1.764,0.059,0.12,0.0,0,0.04,0,1,1,-1,,,5.379,0.079,0.136,0,0,,2.885,0.833,2.402,0.03,0.4
JVASP-6571,2,AlTeI7,Al I Te,9,1.579,1.764,0.171,0.21,0.35,0,0.08,2,0,0,-1,,,5.406,0.11,0.139,1,0,,,,,0.16,0.692
agm2000110291,0,TiO2,O Ti,6,2.818,1.764,0.551,0.353,0.01,1,0.84,2,0,0,-1,,,7.184,0.07,0.149,0,0,,,,,0.37,2.233
I2In2S2-2563c60fafcf,1,InSI,I In S,6,1.539,1.764,0.023,0.257,0.0,1,0.34,1,0,0,-1,,,5.418,0.057,0.172,0,2,5.4,2.366,0.663,1.957,0.05,0.159
agm2000142934,0,TbRhBr6,Br Rh Tb,8,1.741,1.765,0.048,0.079,0.0,0,0.0,0,1,1,-1,,,5.554,0.086,0.131,0,0,,2.834,1.014,2.152,0.07,0.322
agm2000085703,0,YTeBr,Br Te Y,18,1.779,1.765,0.049,0.115,0.0,1,0.45,0,1,1,-1,,,4.804,0.295,0.348,2,0,,2.731,0.826,2.131,0.31,0.331
agm2000136867,0,MnAg2PbI6,Ag I Mn Pb,10,1.738,1.765,0.042,0.163,0.0,1,0.79,0,1,1,-1,,,5.353,0.084,0.219,0,0,,3.295,1.175,2.448,0.03,0.286
agm2000064172,0,MnCuCl3,Cl Cu Mn,10,1.847,1.765,0.061,0.199,0.0,0,0.11,0,1,1,-1,,,5.489,0.151,0.269,2,0,,3.511,1.436,2.302,0.39,0.287
agm2000078888,0,MnPbI4,I Mn Pb,6,1.756,1.765,0.01,0.195,0.0,1,0.59,0,1,1,-1,,,5.319,0.05,0.107,0,0,,3.031,1.138,2.254,0.05,0.067
agm2000069467,0,Nd(AgTe)3,Ag Nd Te,7,1.878,1.765,0.061,0.144,0.0,1,0.49,0,1,0,-1,,,4.961,0.112,0.221,1,0,,2.737,0.951,1.864,0.93,0.366
agm2000143298,0,BaCeCl6,Ba Ce Cl,8,1.756,1.765,0.067,0.083,0.0,0,0.01,0,1,1,-1,,,6.044,0.235,0.191,2,0,,3.838,1.128,3.069,0.04,0.318
agm2000092332,0,GePCl,Cl Ge P,12,1.765,1.765,0.093,0.317,0.03,1,0.43,2,1,0,-1,,,5.144,0.289,0.516,2,0,,,,,0.48,0.366
agm2000135397,0,K2Fe(HO)6,Fe H K O,15,2.017,1.765,0.67,0.236,0.27,0,0.01,2,0,0,-1,,,2.73,0.181,0.084,2,0,,,,,0.13,2.715
agm2000033306,0,ZrCl4,Cl Zr,20,1.838,1.765,0.089,0.238,0.0,0,0.2,1,1,0,-1,,,5.74,0.169,0.173,2,0,,3.443,1.069,2.697,0.51,0.533
agm2000069647,0,AgAu2I3,Ag Au I,6,1.728,1.766,0.043,0.231,0.05,1,0.48,0,1,1,-1,,,5.158,0.114,0.312,1,0,,2.613,0.997,1.848,0.33,0.291
agm2000032905,0,AgBr,Ag Br,24,1.649,1.766,0.065,0.163,0.0,0,0.27,0,1,0,-1,,,5.227,0.11,0.222,1,0,,2.781,0.985,1.974,0.49,0.306
agm2000141774,0,HoPbI5,Ho I Pb,14,1.687,1.766,0.05,0.115,0.0,0,0.02,0,1,1,-1,,,5.337,0.117,0.135,1,0,,2.485,0.88,1.942,0.23,0.34
agm2000089130,0,KAgBr2,Ag Br K,8,0.868,1.766,0.35,0.295,0.0,1,0.67,2,0,0,-1,,,4.403,0.159,0.286,2,0,,,,,0.84,1.257
agm2000143972,0,TlSbCl6,Cl Sb Tl,8,1.658,1.766,0.092,0.268,0.0,0,0.03,1,1,1,-1,,,6.63,0.094,0.097,1,0,,2.888,1.008,2.328,0.08,0.363
agm2000085681,0,DyTeBr,Br Dy Te,18,1.762,1.766,0.072,0.204,0.0,1,0.87,0,1,0,-1,,,5.038,0.354,0.276,2,0,,2.765,0.947,2.009,0.71,0.431
agm2000080633,0,LaTlSe3,La Se Tl,5,1.823,1.766,0.04,0.273,0.0,1,0.56,1,1,0,-1,,,4.725,0.154,0.186,2,0,,2.414,1.021,1.493,0.91,0.324
agm2000090097,0,MnAgBr3,Ag Br Mn,10,1.818,1.766,0.051,0.182,0.0,0,0.09,0,1,1,-1,,,5.177,0.137,0.28,2,0,,3.309,1.263,2.27,0.43,0.346
agm2000060056,0,Hg2SeI2,Hg I Se,5,1.936,1.766,0.153,0.247,0.0,0,0.23,2,2,1,-1,,,5.386,0.039,0.175,0,0,,,,,0.22,0.619
agm2000099498,0,Hg3(IO)2,Hg I O,14,1.721,1.766,0.103,0.252,0.0,0,0.23,1,1,0,-1,,,5.429,0.087,0.235,0,0,,2.887,1.194,1.742,0.73,0.466
agm2000136293,0,HoSF,F Ho S,6,1.866,1.767,0.031,0.113,0.0,0,0.12,0,1,1,-1,,,5.806,0.448,0.309,2,0,,3.52,1.32,2.598,0.58,0.249
agm2000036767,0,HgF2,F Hg,12,1.688,1.767,0.106,0.122,0.12,1,0.48,1,1,0,-1,,,6.682,0.108,0.157,1,0,,3.848,1.392,2.65,0.33,0.417
agm2000087599,0,In2CuI3,Cu I In,12,1.615,1.767,0.06,0.201,0.0,1,0.42,0,1,0,-1,,,4.177,0.236,0.216,2,0,,2.883,1.032,1.957,0.63,0.486
agm2000084462,0,Cd2AsI,As Cd I,8,1.651,1.767,0.085,0.284,0.0,0,0.27,1,1,0,-1,,,5.072,0.147,0.288,2,0,,2.492,0.863,1.78,0.77,0.507
agm2000091605,0,Tl3O2F3,F O Tl,16,1.648,1.767,0.065,0.269,0.03,1,0.64,1,1,0,-1,,,5.679,0.222,0.324,2,0,,3.673,1.216,2.689,0.59,0.387
agm2000142933,0,SmRhBr6,Br Rh Sm,8,1.748,1.767,0.048,0.078,0.0,0,0.0,0,1,1,-1,,,5.661,0.08,0.119,0,0,,2.586,0.972,1.893,0.06,0.326
agm2000123605,0,InCl2,Cl In,12,1.641,1.767,0.099,0.276,0.49,1,0.65,1,1,1,-1,,,5.844,0.095,0.124,1,0,,3.239,1.102,2.558,0.37,0.389
agm2000055695,0,Li2AgF3,Ag F Li,6,2.334,1.767,0.307,0.413,0.0,1,0.73,2,0,0,-1,,,5.381,0.347,0.305,2,0,,,,,0.61,1.102
agm2000036923,0,AuI,Au I,8,1.823,1.767,0.065,0.236,0.02,1,0.4,1,1,1,-1,,,5.021,0.141,0.302,2,0,,2.962,1.112,1.943,0.54,0.389
agm2000032997,0,CdTe,Cd Te,16,2.123,1.767,0.046,0.272,0.0,0,0.14,1,0,0,-1,,,4.961,0.113,0.149,1,0,,2.901,0.761,2.2,0.88,0.371
agm2000097220,0,CeClF3,Ce Cl F,10,1.646,1.767,0.026,0.221,0.17,0,0.03,0,1,1,-1,,,6.216,0.147,0.207,2,0,,3.355,1.137,2.59,0.36,0.173
agm2000102143,0,AgHgI3,Ag Hg I,10,1.833,1.768,0.096,0.19,0.0,0,0.17,1,1,1,-1,,,5.213,0.095,0.264,1,0,,2.428,1.077,1.453,0.46,0.379
agm2000113138,0,I2O3,I O,10,1.685,1.768,0.304,0.348,0.0,1,0.69,2,2,1,-1,,,5.952,0.159,0.222,2,0,,,,,0.25,1.231
agm2000008960,0,Rb2Te,Rb Te,6,1.714,1.768,0.029,0.231,0.0,0,0.08,0,0,0,-1,,,3.89,0.199,0.245,2,0,,2.662,0.592,2.241,0.89,0.233
agm2000047427,0,Rb2Te,Rb Te,9,1.718,1.768,0.029,0.231,0.0,0,0.08,0,0,0,-1,,,3.89,0.199,0.245,2,0,,2.662,0.592,2.241,0.89,0.233
agm2000023958,0,PbI2,I Pb,6,1.684,1.768,0.077,0.313,0.02,1,0.77,2,0,0,-1,,,5.527,0.086,0.142,0,0,,,,,0.89,0.46
agm2000142927,0,LaRhBr6,Br La Rh,8,1.762,1.768,0.053,0.1,0.0,0,0.0,0,1,1,-1,,,5.681,0.262,0.109,2,0,,2.856,0.914,2.228,0.1,0.358
agm2000052177,0,InAgBr2,Ag Br In,4,1.354,1.768,0.162,0.305,0.0,1,0.35,2,0,0,-1,,,5.175,0.205,0.316,2,0,,,,,0.49,0.658
agm2000127538,0,UO3,O U,4,1.719,1.768,0.051,0.222,0.05,0,0.2,0,1,0,-1,,,6.969,0.308,0.113,2,0,,3.132,0.921,2.49,0.56,0.416
agm2000078741,0,MgCdSe2,Cd Mg Se,8,1.782,1.769,0.073,0.255,0.0,1,0.53,1,1,0,-1,,,4.569,0.215,0.361,2,0,,3.076,0.831,2.501,0.77,0.436
agm2000003811,0,HgO,Hg O,4,1.9,1.769,0.066,0.217,0.0,1,0.4,0,0,0,-1,,,5.403,0.133,0.253,2,0,,2.982,1.098,1.894,0.7,0.395
agm2000078082,0,TlAuI2,Au I Tl,8,1.386,1.769,0.105,0.3,0.0,1,0.64,2,0,0,-1,,,5.288,0.131,0.275,1,0,,,,,0.56,0.475
agm2000068023,0,SmAuSe2,Au Se Sm,8,1.682,1.769,0.028,0.244,0.0,1,0.48,1,1,0,-1,,,4.651,0.096,0.232,1,0,,2.656,0.945,1.926,0.8,0.23
agm2000069355,0,InAg3I4,Ag I In,8,1.803,1.769,0.051,0.175,0.0,0,0.16,0,0,0,-1,,,5.039,0.122,0.295,1,0,,2.826,1.062,1.895,0.31,0.346
agm2000135230,0,NaHg3Cl8,Cl Hg Na,12,0.366,1.77,0.63,0.273,0.38,0,0.08,2,3,1,-1,,,6.205,0.069,0.152,0,0,,,,,0.27,2.553
agm2000142883,0,PrTlBr6,Br Pr Tl,8,1.76,1.77,0.091,0.087,0.0,0,0.0,0,1,1,-1,,,6.127,0.135,0.108,2,0,,3.378,0.937,2.802,0.08,0.432
JVASP-6064,2,MnCl2,Cl Mn,3,1.659,1.77,0.049,0.106,0.0,0,0.2,0,0,0,1,Mn,Cl,5.412,0.034,0.169,0,0,,3.537,1.429,2.37,0.13,0.33
agm2000145871,0,SrTiBr6,Br Sr Ti,8,1.781,1.77,0.052,0.09,0.0,0,0.01,0,1,1,-1,,,5.473,0.074,0.15,0,0,,3.655,1.013,2.973,0.06,0.352
agm2000020718,0,InI3,I In,8,1.713,1.77,0.065,0.178,0.01,1,0.54,0,1,1,-1,,,4.981,0.067,0.163,0,0,,2.845,0.853,2.309,0.25,0.306
