i,s,f,e,n,d,g,u,l,m,t,p,w,r,b,fm,fa,fb,k,ku,kl,kw,kr,kd,q,x,o,pm,iv
agm2000145134,0,LiSeCl6,Cl Li Se,8,0.078,-0.027,0.12,0.167,0.66,0,0.08,2,1,0,-1,,,6.371,0.145,0.116,2,0,,,,,0.57,0.543
agm2000135654,0,Rb2Nd(HO)6,H Nd O Rb,15,0.049,-0.024,0.161,0.042,0.92,1,0.52,2,1,0,-1,,,3.1,0.088,0.195,0,0,,,,,0.75,0.579
agm2000143455,0,CsIrCl6,Cl Cs Ir,8,0.03,-0.023,0.045,0.131,1.0,0,0.04,2,1,1,-1,,,5.108,0.293,0.233,2,0,,,,,0.74,0.364
agm2000027093,0,CdO,Cd O,12,0.012,-0.022,0.174,0.316,1.0,1,0.57,2,1,0,-1,,,6.989,0.212,0.217,2,0,,,,,0.77,0.626
agm2000131666,0,Ce2PuCl6,Ce Cl Pu,9,0.016,-0.022,0.108,0.164,0.99,0,0.0,2,3,1,-1,,,5.849,0.276,0.151,2,0,,,,,0.09,0.426
agm2000135193,0,Na2Sb(HS)6,H Na S Sb,15,0.017,-0.021,0.073,0.167,1.0,1,0.4,2,1,1,-1,,,3.302,0.097,0.205,1,0,,,,,0.6,0.436
agm2000134321,0,Cd(PbBr4)2,Br Cd Pb,11,0.012,-0.02,0.051,0.099,0.93,1,0.4,2,1,0,-1,,,5.886,0.052,0.113,0,0,,,,,0.75,0.414
agm2000015434,0,Rb3As,As Rb,8,0.017,-0.019,0.107,0.17,0.69,1,0.37,2,0,0,-1,,,3.943,0.297,0.286,2,0,,,,,0.96,0.482
agm2000098102,0,LiIn2F3,F In Li,12,0.175,-0.018,0.259,0.277,0.0,1,0.72,2,1,1,-1,,,5.155,0.174,0.323,2,0,,,,,0.64,0.931
agm2000116726,0,Ce4Br11,Br Ce,15,0.01,-0.017,0.035,0.153,1.0,0,0.25,2,1,1,-1,,,5.637,0.21,0.152,2,0,,,,,0.46,0.235
agm2000135666,0,Rb2Pm(HO)6,H O Pm Rb,15,0.062,-0.017,0.102,0.042,0.06,1,0.46,1,1,0,-1,,,3.143,0.071,0.172,0,0,,,,,0.84,0.463
agm2000134469,0,Ca(SO4)2,Ca O S,11,0.026,-0.014,0.073,0.138,1.0,1,0.42,2,1,0,-1,,,7.689,0.274,0.189,2,0,,,,,0.72,0.439
agm2000116769,0,Pr4Cl11,Cl Pr,15,0.051,-0.014,0.07,0.199,0.02,0,0.0,0,1,0,-1,,,6.065,0.424,0.209,2,0,,,,,0.94,0.416
agm2000141842,0,LiPmBr5,Br Li Pm,14,0.011,-0.013,0.059,0.134,1.0,0,0.02,2,1,0,-1,,,5.52,0.264,0.117,2,0,,,,,0.9,0.482
agm2000067326,0,K2SrO2,K O Sr,10,0.073,-0.013,0.153,0.19,0.06,0,0.05,2,1,0,-1,,,4.21,0.314,0.469,2,0,,,,,0.95,0.549
agm2000138095,0,LiCeI3,Ce I Li,10,0.037,-0.012,0.016,0.181,0.98,0,0.12,2,1,0,-1,,,4.819,0.381,0.231,2,0,,,,,0.44,0.111
agm2000098664,0,Na3FeS3,Fe Na S,14,0.046,-0.012,0.084,0.204,0.94,1,0.39,2,1,0,-1,,,2.739,0.213,0.255,2,0,,,,,0.87,0.501
agm2000135432,0,K2Pm(HO)6,H K O Pm,15,0.052,-0.009,0.092,0.031,0.29,0,0.3,1,0,0,-1,,,3.015,0.097,0.146,1,0,,,,,0.84,0.417
Te2V2-18940cda2df4,1,VTe,Te V,4,0.226,-0.009,0.272,0.27,0.01,1,0.74,2,0,0,-1,,,4.622,0.092,0.317,2,2,4.728,,,,0.07,1.102
agm2000116721,0,Ac4Br11,Ac Br,15,0.049,-0.009,0.13,0.206,0.96,0,0.13,2,1,0,-1,,,5.898,0.165,0.2,2,0,,,,,0.93,0.586
agm2000135668,0,Rb2Pr(HO)6,H O Pr Rb,15,0.036,-0.007,0.111,0.049,0.89,1,0.49,2,0,0,-1,,,3.115,0.11,0.193,1,0,,,,,0.78,0.504
agm2000078235,0,KRb2As,As K Rb,8,0.016,-0.006,0.015,0.143,0.74,1,0.38,2,1,0,-1,,,4.135,0.253,0.273,2,0,,,,,0.92,0.121
agm2000141117,0,SrCdBr5,Br Cd Sr,14,0.012,-0.003,0.109,0.123,0.98,0,0.13,2,1,0,-1,,,5.701,0.135,0.128,2,0,,,,,0.86,0.495
agm2000001540,0,TlH3,H Tl,8,1.448,-0.003,0.499,0.3,0.26,0,0.19,2,0,0,-1,,,4.479,0.178,0.291,2,0,,,,,0.06,2.024
agm2000144021,0,TlSeCl6,Cl Se Tl,8,0.044,-0.002,0.049,0.121,0.69,0,0.07,2,1,0,-1,,,6.949,0.064,0.095,0,0,,,,,0.59,0.398
agm2000145059,0,KTeBr6,Br K Te,8,0.051,-0.002,0.093,0.119,0.6,0,0.0,2,1,0,-1,,,6.079,0.115,0.173,1,0,,,,,0.65,0.422
agm2000135395,0,K2Er(HO)6,Er H K O,15,0.114,-0.001,0.124,0.024,0.04,0,0.27,1,1,0,-1,,,2.997,0.075,0.16,0,0,,,,,0.8,0.563
agm2000141573,0,SrHgCl5,Cl Hg Sr,14,0.011,-0.001,0.049,0.162,0.99,0,0.11,2,1,0,-1,,,6.358,0.119,0.112,1,0,,,,,0.71,0.396
agm2000116730,0,Nd4Br11,Br Nd,15,0.057,0.0,0.085,0.177,0.1,1,0.4,0,1,0,-1,,,5.583,0.322,0.189,2,0,,,,,0.95,0.51
agm2000001678,0,MoH4,H Mo,10,0.014,0.0,0.243,0.313,1.0,1,1.0,2,2,1,-1,,,4.799,0.279,0.141,2,0,,,,,0.53,0.872
agm2000125006,0,VO2,O V,12,0.015,0.001,0.211,0.351,0.68,1,0.98,2,1,1,-1,,,6.647,0.346,0.119,2,0,,,,,0.51,0.757
agm2000057746,0,Nd2GdN3,Gd N Nd,6,0.038,0.003,0.018,0.156,0.99,0,0.24,2,1,0,-1,,,3.586,0.856,0.507,2,0,,,,,0.94,0.148
agm2000141570,0,SrCeCl5,Ce Cl Sr,14,0.02,0.003,0.055,0.113,1.0,0,0.01,2,1,1,-1,,,6.0,0.266,0.149,2,0,,,,,0.08,0.373
agm2000132783,0,K2VI6,I K V,9,0.017,0.003,0.027,0.111,1.0,0,0.0,2,1,1,-1,,,4.986,0.104,0.172,1,0,,,,,0.21,0.185
agm2000015430,0,Rb3As,As Rb,8,0.018,0.003,0.064,0.178,0.73,1,0.4,2,0,0,-1,,,3.994,0.282,0.295,2,0,,,,,0.9,0.384
agm2000143634,0,KCrCl6,Cl Cr K,8,0.016,0.003,0.074,0.116,0.95,0,0.0,2,1,0,-1,,,5.964,0.134,0.214,2,0,,,,,0.68,0.441
Se2V2-9cf30bd127fe,1,VSe,Se V,4,0.257,0.004,0.278,0.223,0.36,1,0.95,2,0,0,-1,,,4.78,0.055,0.194,0,1,4.924,,,,0.15,1.128
agm2000114506,0,S3O10,O S,13,0.066,0.004,0.125,0.263,0.08,0,0.19,1,1,0,-1,,,7.369,0.195,0.166,2,0,,,,,0.82,0.566
Cl2Ti2-eb96c223dc67,1,TiCl,Cl Ti,4,0.013,0.005,0.104,0.285,0.99,1,0.36,2,0,0,-1,,,3.249,0.189,0.144,2,1,2.935,,,,0.54,0.468
agm2000057745,0,NbSn2N3,N Nb Sn,6,0.045,0.005,0.115,0.241,0.92,1,1.0,2,1,0,-1,,,4.156,0.198,0.525,2,0,,,,,0.57,0.521
agm2000069844,0,ErAgTe2,Ag Er Te,8,0.073,0.005,0.052,0.102,0.41,1,0.63,0,1,1,-1,,,4.86,0.087,0.236,0,0,,,,,0.9,0.423
agm2000143439,0,RbCrCl6,Cl Cr Rb,8,0.018,0.007,0.076,0.134,0.98,0,0.01,2,1,0,-1,,,5.882,0.103,0.225,1,0,,,,,0.67,0.456
agm2000097390,0,In3Cl3F,Cl F In,14,0.116,0.007,0.108,0.294,0.46,1,0.76,1,1,0,-1,,,4.991,0.133,0.313,2,0,,,,,0.83,0.487
agm2000134707,0,Pu3AgBr8,Ag Br Pu,12,0.012,0.007,0.058,0.129,1.0,0,0.02,2,1,0,-1,,,6.012,0.196,0.165,2,0,,,,,0.65,0.47
agm2000029555,0,K3P,K P,8,0.015,0.007,0.06,0.141,0.92,0,0.02,2,1,1,-1,,,4.054,0.44,0.392,2,0,,,,,0.64,0.362
agm2000001992,0,CuH,Cu H,8,0.093,0.009,0.122,0.377,1.0,1,0.77,2,1,0,-1,,,4.514,0.309,0.347,2,0,,,,,0.27,0.48
agm2000116734,0,Pr4Br11,Br Pr,15,0.055,0.011,0.07,0.147,0.0,0,0.03,0,1,0,-1,,,5.638,0.279,0.22,2,0,,,,,0.96,0.418
agm2000025905,0,K3As,As K,8,0.054,0.012,0.046,0.114,0.83,1,0.86,2,1,0,-1,,,4.364,0.317,0.337,2,0,,,,,0.88,0.37
agm2000138934,0,TbPrCl4,Cl Pr Tb,12,0.025,0.012,0.035,0.086,0.96,0,0.01,2,2,1,-1,,,5.867,0.409,0.221,2,0,,,,,0.52,0.285
agm2000142915,0,RbTeBr6,Br Rb Te,8,0.059,0.013,0.067,0.133,0.11,0,0.02,0,1,0,-1,,,5.9,0.113,0.204,1,0,,,,,0.63,0.401
agm2000135407,0,K2Ho(HO)6,H Ho K O,15,0.104,0.013,0.126,0.024,0.01,0,0.27,1,1,0,-1,,,2.997,0.062,0.151,0,0,,,,,0.7,0.569
agm2000111505,0,TiClO,Cl O Ti,12,0.024,0.013,0.134,0.26,1.0,1,0.51,2,1,0,-1,,,5.021,0.079,0.274,1,0,,,,,0.56,0.604
agm2000135100,0,LiCe3Br8,Br Ce Li,12,0.037,0.015,0.021,0.093,1.0,0,0.14,2,1,1,-1,,,5.473,0.299,0.158,2,0,,,,,0.3,0.142
agm2000116891,0,Rb11S4,Rb S,15,0.034,0.015,0.031,0.18,1.0,1,0.51,2,1,0,-1,,,3.585,0.242,0.319,2,0,,,,,0.88,0.254
agm2000141152,0,YPuBr5,Br Pu Y,14,0.012,0.015,0.039,0.131,1.0,0,0.02,2,3,1,-1,,,5.329,0.213,0.135,2,0,,,,,0.51,0.313
agm2000145466,0,BaNbI6,Ba I Nb,8,0.041,0.016,0.076,0.091,0.99,0,0.0,2,1,1,-1,,,4.769,0.094,0.13,1,0,,,,,0.07,0.359
agm2000135449,0,K2Tb(HO)6,H K O Tb,15,0.088,0.016,0.119,0.018,0.06,0,0.31,1,1,0,-1,,,2.978,0.073,0.149,0,0,,,,,0.74,0.538
